Word/Bigram,Frequency
science,5792
technology,5741
also,3582
research,3093
need,2651
energy,2494
society,2461
new,2244
country,2148
university,2101
innovation,2055
issue,2012
speaker,1972
must,1888
president,1869
japan,1862
development,1829
world,1735
global,1693
session,1651
change,1644
data,1538
system,1534
forum,1486
government,1486
industry,1480
one,1443
people,1438
important,1378
future,1355
participant,1335
challenge,1302
chair,1299
education,1297
public,1292
many,1245
international,1213
human,1195
discussion,1136
collaboration,1103
developing,1097
scientific,1074
scientist,1055
institute,1050
climate,1037
national,1033
problem,1026
would,1023
sts,1004
chairman,997
director,974
use,972
example,943
could,925
water,912
company,904
social,900
way,896
solution,893
policy,886
however,879
health,856
role,852
area,850
u,835
resource,821
information,818
discussed,812
disease,812
year,810
work,794
well,788
time,782
professor,759
artificial_intelligence,756
group,745
business,742
make,733
including,726
life,722
importance,720
different,718
impact,710
knowledge,709
sustainable,706
executive,700
key,682
noted,675
said,655
city,650
economic,647
better,638
may,636
approach,635
level,631
nuclear,629
help,626
question,624
needed,624
another,622
stated,612
first,609
environment,609
medicine,606
developed,600
chief,600
effort,595
community,588
security,584
member,578
power,576
population,572
next,571
student,570
food,570
former,569
jp,567
cost,564
risk,555
sector,545
cooperation,541
benefit,537
potential,529
necessary,528
goal,525
program,515
corporation,515
academia,503
made,488
minister,487
emission,485
among,483
used,482
together,481
support,479
center,474
pandemic,473
ict,470
provide,470
investment,468
sustainability,468
engineering,467
major,466
model,464
create,460
develop,459
process,457
carbon,457
funding,456
academy,455
possible,455
around,454
opportunity,452
organization,450
material,450
take,448
application,446
vice,444
field,440
essential,434
address,431
point,430
leader,429
growth,428
study,426
communication,424
become,422
officer,420
access,417
ocean,417
building,412
even,411
asked,411
current,409
order,407
fuel,407
cell,405
progress,404
term,404
source,400
increase,400
much,399
project,396
value,395
production,395
young,394
addition,394
agency,392
focus,391
large,391
economy,390
ensure,390
nation,389
explained,389
high,388
local,387
digital,386
spoke,384
pointed,383
often,383
remark,382
foundation,380
still,380
come,379
part,378
good,378
infrastructure,375
renewable,375
based,374
understanding,373
individual,372
basic,372
council,371
result,369
gas,368
open,367
idea,365
initiative,365
like,365
researcher,364
concern,363
management,363
technological,361
private,359
generation,359
advance,358
making,357
action,356
opening,354
environmental,353
market,352
meeting,350
great,347
plenary,347
space,347
general,347
network,345
fact,339
industrial,339
various,339
right,336
second,336
effect,334
product,334
tokyo,333
big,332
therefore,331
state,330
play,330
greater,329
learning,329
two,328
using,327
due,326
effective,325
strategy,325
lead,324
medical,324
topic,323
number,322
achieve,319
natural,319
board,318
quality,318
earth,316
advanced,315
trust,311
shared,311
vaccine,310
institution,308
ceo,307
smart,304
able,302
understand,301
especially,300
safety,300
without,299
working,299
improve,297
across,297
third,296
continue,295
nobel,294
aspect,293
drug,293
creating,293
required,292
humanity,291
reduce,288
humankind,287
room,287
place,287
common,286
healthcare,285
political,284
furthermore,282
medium,281
treatment,281
partnership,280
best,279
promote,278
concurrent,278
africa,278
include,278
agreed,277
supply,277
critical,275
regulation,273
lack,273
highlighted,273
suggested,272
school,272
physic,272
whether,271
hydrogen,271
case,270
face,270
factor,270
increasing,270
senior,268
capacity,268
tool,265
disaster,264
nature,263
quantum,262
three,261
addressed,261
aging,261
service,259
emphasized,258
kyoto,257
standard,257
department,257
demand,256
opened,256
related,253
finally,253
raised,252
experience,251
internet,251
mean,250
considered,250
began,249
increased,245
method,244
nationality,244
light,243
bring,243
ecosystem,243
today,242
recent,242
efficiency,241
scale,240
build,239
vital,238
manufacturing,237
addressing,236
require,236
past,236
contribute,236
framework,236
emeritus,236
robotics,235
solve,234
commented,234
crisis,234
activity,234
sharing,234
uk,231
towards,230
added,229
within,228
higher,228
consumption,227
limited,226
r,223
academic,223
requires,222
privacy,222
rather,220
measure,220
given,219
done,219
patient,219
france,219
canada,218
interest,217
crucial,216
long,216
response,216
decision,216
shadow,214
brought,213
citizen,213
regarding,213
job,213
brain,212
growing,212
perspective,211
le,211
amount,211
available,211
expressed,210
believed,209
already,208
care,208
difficult,208
nanotechnology,208
ethical,207
laboratory,207
thing,207
currently,207
intelligence,207
region,207
set,206
produce,206
facing,206
omi,205
rapid,205
culture,204
share,202
representative,201
main,201
oil,200
promoting,199
changing,199
plant,199
european,198
advisor,198
laureate,198
germany,198
century,197
providing,197
skill,197
increasingly,196
positive,196
particularly,195
clear,195
success,194
infectious,194
since,194
small,194
yet,193
offer,193
agriculture,193
dialogue,192
enough,192
low,192
october,192
focused,191
huge,191
innovative,191
woman,191
particular,190
forward,189
gap,188
japanese,188
fundamental,187
property,187
india,187
early,186
find,186
vehicle,185
situation,185
stakeholder,185
seen,185
consider,184
allow,184
de,184
mentioned,184
stressed,183
discovery,183
diplomacy,183
view,182
applied,182
training,182
control,182
ministry,182
existing,182
fossil,180
ability,179
creation,179
significant,179
robot,179
balance,178
computing,178
held,178
responsibility,177
strong,176
plan,176
device,176
encourage,176
complex,176
billion,175
fourth,175
real,174
tackle,174
think,174
improving,173
might,173
storage,172
threat,171
reduction,171
artificial,171
end,170
called,170
successful,170
revolution,169
every,168
involved,168
chemical,168
age,168
although,167
see,167
platform,167
waste,167
ip,166
message,166
form,165
negative,165
several,165
computer,165
office,165
meet,165
annual,165
china,165
hope,164
rapidly,164
emerging,163
stem,163
united,162
iot,162
singapore,161
concluded,161
target,161
transition,161
audience,161
present,160
others,160
biodiversity,160
affect,159
advancement,158
intellectual,158
urban,158
improved,157
efficient,157
certain,157
rise,157
introduced,157
prime,156
look,156
partner,156
created,155
achieving,155
agreement,155
thus,153
competition,153
policymakers,152
aim,152
step,152
incentive,152
following,152
appropriate,151
price,151
get,151
comment,151
despite,150
spread,150
far,150
concept,149
remain,149
beyond,149
deal,149
vision,148
car,148
healthy,148
graduate,148
societal,148
co,148
regard,148
planet,148
thinking,148
technical,147
taken,147
decade,147
move,147
rate,147
subject,147
diverse,146
diversity,146
child,146
presented,146
becoming,146
financial,146
enable,146
analysis,146
transportation,145
design,145
worldwide,144
regional,144
stating,144
solar,143
reducing,143
noting,143
integrated,143
regulatory,142
interdisciplinary,142
discipline,141
put,141
thought,141
longer,141
learn,141
capital,141
reach,140
living,140
barrier,140
chemistry,140
talent,140
upon,140
alternative,139
pharmaceutical,139
law,138
range,138
million,138
belief,137
practice,137
genome,137
difference,137
structure,137
kind,137
south,136
cause,136
body,136
provided,136
green,135
gain,135
priority,135
sdgs,135
mechanism,134
leading,134
foster,134
shift,133
relationship,133
start,133
know,133
fund,132
awareness,132
governance,132
adaptation,132
bringing,132
side,131
panel,131
finding,131
drive,131
ensuring,130
overcome,130
politician,130
personal,130
educational,130
california,130
expected,130
always,130
day,130
electric,130
toyota,129
collaborative,129
mix,129
traditional,128
theme,128
improvement,128
bank,128
attention,128
hand,128
warming,128
transformation,128
highly,128
led,127
instead,127
everyone,127
go,126
deputy,126
raise,126
mobility,125
founder,125
possibility,125
remains,125
russia,125
monitoring,124
effectively,124
managing,123
useful,123
consumer,123
found,123
likely,123
thailand,123
technique,123
interaction,122
clean,122
loss,122
biology,122
lesson,122
reason,121
active,121
overall,121
online,121
trend,121
transfer,121
condition,121
taking,121
cancer,121
going,121
give,121
achieved,120
reality,120
option,120
behavior,120
fifth,120
trade,119
produced,119
ever,119
speed,119
customer,119
context,119
conference,118
exist,118
last,118
relation,118
touched,118
grand,117
assessment,117
therapy,117
act,117
looking,117
capability,117
advantage,117
faced,117
battery,117
protection,116
genetic,116
head,116
globally,116
changed,116
special,115
safe,115
exchange,115
machine,115
contribution,114
discus,114
affair,114
want,114
continued,114
consideration,114
electricity,114
hiroshi,113
modern,113
expert,113
prevent,113
keep,113
alone,113
specific,113
asia,113
greenhouse,113
physical,113
identify,112
german,112
driving,112
engage,111
association,111
transport,111
prevention,111
chain,111
establish,110
seek,110
nanomaterials,110
virus,110
path,109
europe,109
type,109
press,109
koji,108
participation,108
history,108
tackling,108
established,108
ca,107
maintain,107
turn,107
american,107
african,107
consensus,106
john,106
live,106
mckinnell,105
career,105
driven,105
user,105
secretary,105
account,105
communicate,105
leadership,105
grid,105
personalized,105
promising,104
solving,104
land,104
started,104
robert,103
mitsubishi,103
enhance,103
poverty,103
mind,103
corporate,102
cultural,102
nevertheless,102
event,102
forest,102
cybersecurity,102
fully,101
associated,101
crop,101
show,101
multiple,101
clinical,101
maker,101
money,101
coming,101
testing,101
prize,101
breakthrough,100
back,100
focusing,100
facility,100
stage,99
hold,99
mission,99
similar,99
recently,99
foreign,99
engagement,99
hoped,99
patent,99
motor,98
purpose,98
difficulty,98
wide,98
toward,98
outcome,98
broad,98
gene,98
resilience,98
implementation,98
ethic,97
resulting,97
fr,97
malaysia,97
invest,97
legal,97
competitiveness,97
protect,97
whole,96
consequence,96
poor,96
single,96
joint,96
included,96
lot,96
royal,96
described,96
pollution,96
strategic,96
free,96
course,95
federation,95
gmos,95
engineer,94
teaching,94
panelist,94
additionally,94
massive,94
deep,94
responsible,93
adapt,93
avoid,93
centre,93
serious,93
grow,93
true,92
implication,92
short,92
variety,92
planning,92
encouraged,92
invited,92
expensive,91
task,91
four,91
simply,91
closing,91
sense,91
fostering,91
sea,91
kleiner,91
function,90
debate,90
perhaps,90
literacy,90
force,90
practical,90
fusion,90
helping,90
failure,90
finance,90
physiology,90
link,89
integration,89
fellow,89
supporting,89
shown,89
satellite,89
promotion,88
un,88
aid,88
faculty,88
serageldin,88
home,88
competitive,88
element,88
talked,88
language,88
answer,88
driver,88
reactor,88
close,87
commission,87
per,87
commitment,87
acceptance,87
implemented,87
australia,87
sanno,86
distribution,86
actually,86
agenda,85
freedom,85
renewables,85
dealing,85
nutrition,85
final,85
switzerland,85
th,84
mankind,84
primary,84
reduced,84
startup,84
test,84
generate,84
background,84
marine,84
implementing,83
provides,83
biotechnology,83
realize,83
indonesia,83
nagatacho,82
rule,82
cited,82
expertise,82
distinguished,82
fast,82
bridge,82
frontier,82
mitigation,82
inclusive,82
air,82
teacher,82
zero,82
affordable,81
conservation,81
usage,81
agricultural,81
period,81
federal,81
connected,81
transform,81
temperature,81
recycling,81
sweden,81
shale,81
secure,80
biological,80
degree,80
full,80
getting,80
explaining,80
track,80
resilient,80
fax,79
moving,79
though,79
little,79
